name,key
Agaete,3500101
Aguimes,3500201
Artenara,3500501
Arucas_centro,3500601
Cerrillo,3500602
Bañaderos,3500603
Tinocas,3500604
Santidad,3500605
LosPortales_LosCastillos,3500606
LomoRamírez,3500607
Firgas,3500801
LaCruz_LaCaldera,3500802
Buenlugar_Casablanca,3500803
Los Rosales,3500804
Gáldar,3500901
Ingenio_LaPasadilla,3501101
LomodelHospital,3501102
Carrizal_LasMajoreras,3501103
Mogán,3501201
PuertoRico_Amadores_Taurito,3501202
Arguineguín,3501203
Patalavaca_Balito,3501204
Soria,3501205
Moya,3501301
Vegueta - Cono Sur - Tafira,3501601
Centro,3501602
Isleta - Puerto - Canteras,3501603
Ciudad Alta,3501604
Tamaraceite - San Lorenzo - Tenoya,3501605
Tunte_Fataga,3501901
SanFernando_JuanGrande,3501902
Maspalomas_BahiaFeliz_PasitoBlanco,3501903
CercadosEspino_MontañaLaData,3501904
Aldea de San Nicolás,3502001
SantaBrígida_centro,3502101
PinoSanto_ElGamonal,3502102
Atalaya_MonteLentiscal,3502103
LosOlivos_LaAngostura,3502104
SantaLucía_LaSorrueda,3502201
Vecindario_Sardina,3502202
Doctoral_Vecindario,3502203
Santa María de Guía,3502301
Tejeda,3502501
San Juan,3502601
Telde_SanGregorio,3502602
Jinámar_LaMajadilla,3502603
LomoMagullo,3502604
Garita_Pardilla,3502605
OjosGarza_Goro_Salinetas,3502606
Teror,3502701
Valsequillo,3503101
Valleseco,3503201
Vega de San Mateo,3503301
